"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW_1";"SW_SPST_PTS645Sx43SMTR92";1;"SW_BOOT";;;
2;"D1";"LED_0805_2012Metric";1;"RED";;;
3;"C7,C5,C4,C6";"C_0805_2012Metric";4;"0.1u";;;
4;"C1,C3";"C_0805_2012Metric";2;"1u";;;
5;"C2";"CP_Elec_5x4.5";1;"22u";;;
6;"CN1";"CONN-TH_HX25418-10WA";1;"HX25418-10WA";;;
7;"J1,J6,J5";"PinSocket_1x22_P2.54mm_Vertical";3;"Conn_01x22";;;
8;"D2";"LED_0805_2012Metric";1;"ORANGE";;;
9;"J4,J2";"PinHeader_1x22_P2.54mm_Vertical";2;"Conn_01x22";;;
10;"U2";"SOT-23-5";1;"TLV75518PDBV";;;
11;"C9,C8";"C_0805_2012Metric";2;"4.7u";;;
12;"U3";"SOT95P280X145-6N";1;"TS5A3157DBVR";;;
13;"Q1";"SOT-23";1;"2N7002";;;
14;"R3,R1,R2";"R_0805_2012Metric";3;"1k";;;
15;"D3";"LED_0805_2012Metric";1;"BLUE";;;
16;"R5,R4";"R_0805_2012Metric";2;"10k";;;
17;"U7,U6";"TSSOP-16_4.4x5mm_P0.65mm";2;"TMUX1574PW";;;
18;"SW1";"SW-SMD_8P-L13.0-W3.5-P2.00";1;"TA-3532S-A2";;;
19;"U4,U5";"Texas_PW0020A_TSSOP-20_4.4x6.5mm_P0.65mm";2;"TXS0108EPW";;;
20;"J7";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03";;;
